REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (hectares),Total farm value (dollars)
1945,SK,Corn for silage,0.64,714,15000,2100,96
1945,SK,Flaxseed,99,365,81300,223000,8032
1945,SK,Mixed grains,34,1025,4100,4000,141
1945,SK,Oats,32,955,1959000,2053000,63500
1945,SK,"Peas, dry",104,1470,5150,3500,535
1945,SK,"Rye, all",64,635,66700,105000,4270
1945,SK,"Rye, fall remaining",64,565,34000,NA,2171
1945,SK,"Rye, spring",64,725,32700,45000,2099
1945,SK,Sunflower seed,0,665,200,300,0
1945,SK,Tame hay,1.13,3360,638000,190000,7194
1945,SK,"Wheat, all",60,830,4575000,5508000,275684
1946,AB,Barley,34,1445,1045000,722000,36000
1946,AB,Corn for silage,0.6,10000,3000,300,18
1946,AB,Flaxseed,117,540,17300,32000,2026
1946,AB,Mixed grains,31,1455,15000,10300,464
1946,AB,Oats,35,1340,1496000,1115000,52380
1946,AB,"Peas, dry",110,1110,8550,7700,942
1946,AB,"Rye, all",93,855,74300,87000,6885
1946,AB,"Rye, fall remaining",93,935,59000,NA,5476
1946,AB,"Rye, spring",92,640,15300,24000,1409
1946,AB,Sugar beets,1.34,29300,351300,12000,4713
1946,AB,Sunflower seed,0,0,0,0,0
1946,AB,Tame hay,1.29,3910,1367000,350000,17603
1946,AB,"Wheat, all",58,1225,3456000,2826000,201930
1946,BC,Barley,39,2045,14100,6900,552
1946,BC,Corn for silage,0.72,22780,41000,1800,297
1946,BC,Flaxseed,118,865,650,750,77
1946,BC,Mixed grains,34,2250,1800,800,61
1946,BC,Oats,36,2090,79400,38000,2832
1946,BC,"Peas, dry",93,1710,5650,3300,524
1946,BC,"Rye, all",74,1335,800,600,59
1946,BC,Tame hay,2.13,5410,644000,119000,13707
1946,BC,"Wheat, all",59,1920,83800,43700,4956
1946,CA,Barley,35,1275,3197300,2503950,112963
1946,CA,"Beans, all dry (white and coloured)",110,1160,37150,32000,4082
1946,CA,Buckwheat,45,1215,86150,71000,3853
1946,CA,Canola (rapeseed),0,620,5900,9500,0
1946,CA,Corn for grain,42,2670,279800,104700,11635
1946,CA,Corn for silage,0.46,19220,3015000,156900,13777
1946,CA,Flaxseed,118,480,172100,357450,20283
1946,CA,Mixed grains,32,2065,972000,470950,31475
1946,CA,Oats,37,1165,5564900,4768100,207429
1946,CA,"Peas, dry",106,1280,55650,43400,5881
1946,CA,"Rye, all",88,765,220500,287900,19541
1946,CA,"Rye, fall remaining",88,805,159300,NA,14029
1946,CA,"Rye, spring",90,685,61200,89400,5512
1946,CA,Soybeans,81,1215,29200,24000,2369
1946,CA,Sugar beets,1.38,24700,667500,27000,9196
1946,CA,Sunflower seed,0,635,5900,9300,0
1946,CA,Tame hay,1.42,3390,14406000,4251000,204653
1946,CA,"Wheat, all",59,1135,11200950,9863600,660108
1946,MA,Barley,36,1360,930000,683000,33306
1946,MA,Buckwheat,58,835,1500,1800,87
1946,MA,Canola (rapeseed),0,500,500,1000,0
1946,MA,Corn for grain,37,1445,6800,4700,253
1946,MA,Corn for silage,0.86,5820,39000,6700,335
1946,MA,Flaxseed,118,615,75900,123000,8967
1946,MA,Mixed grains,29,1510,8600,5700,250
1946,MA,Oats,36,1320,740000,560000,26880
1946,MA,"Peas, dry",105,1345,16550,12300,1733
1946,MA,"Rye, all",94,975,8200,8400,770
1946,MA,"Rye, fall remaining",96,1000,6000,NA,574
1946,MA,"Rye, spring",89,915,2200,2400,196
1946,MA,Sugar beets,1.22,18900,88800,4700,1080
1946,MA,Sunflower seed,0,635,5900,9300,0
1946,MA,Tame hay,1.12,2440,317000,130000,3553
1946,MA,"Wheat, all",61,1550,1579000,1020000,96860
1946,MP,Barley,44,1555,13300,8550,585
1946,MP,Mixed grains,35,1860,34700,18650,1204
1946,MP,Oats,44,1350,191300,141900,8442
1946,MP,Tame hay,1.85,2580,1246000,483000,23033
1946,MP,"Wheat, all",45,1290,2450,1900,111
1946,NB,Barley,44,1565,6250,4000,273
1946,NB,Buckwheat,52,1500,6450,4300,336
1946,NB,Corn for silage,0,0,0,0,0
1946,NB,Mixed grains,33,1850,1850,1000,61
1946,NB,Oats,43,1295,92300,71200,3949
1946,NB,Tame hay,1.78,2470,555000,225000,9884
1946,NB,"Wheat, all",51,1250,750,600,38
1946,NS,Barley,46,1570,3850,2450,179
1946,NS,Corn for silage,0,0,0,0,0
1946,NS,Mixed grains,41,1740,2350,1350,97
1946,NS,Oats,49,1450,37350,25800,1816
1946,NS,"Rye, all",0,0,0,0,0
1946,NS,Tame hay,1.9,3140,530000,169000,10051
1946,NS,"Wheat, all",42,1200,600,500,25
1946,ON,Barley,35,1975,216500,109700,7658
1946,ON,"Beans, all dry (white and coloured)",109,1165,36200,31100,3947
1946,ON,Buckwheat,43,1250,53550,42900,2287
1946,ON,Corn for grain,42,2730,273000,100000,11382
1946,ON,Corn for silage,0.4,20170,2400000,119000,9526
1946,ON,Flaxseed,119,590,4550,7700,542
1946,ON,Mixed grains,31,2255,812000,360200,25461
1946,ON,Oats,39,1675,1017600,608200,39589
1946,ON,"Peas, dry",104,1410,17350,12300,1812
1946,ON,"Rye, all",78,1330,34300,25800,2686
1946,ON,Soybeans,81,1215,29200,24000,2369
1946,ON,Sugar beets,1.51,22400,210900,9400,3184
1946,ON,Tame hay,1.3,4070,5439000,1337000,70641
1946,ON,"Wheat, all",46,1970,414200,210300,19040
1946,ON,"Wheat, spring",46,1485,21200,14300,974
1946,ON,"Wheat, winter remaining",46,2005,393000,NA,18066
1946,PP,Barley,35,1240,2911000,2343000,102416
1946,PP,Canola (rapeseed),0,620,5900,9500,0
1946,PP,Corn for silage,0.85,6040,55000,9100,465
1946,PP,Flaxseed,118,480,166900,349000,19664
1946,PP,Mixed grains,30,1395,26900,19300,819
1946,PP,Oats,36,1100,3778000,3428000,134260
1946,PP,"Peas, dry",106,1210,29900,24700,3177
1946,PP,"Rye, all",91,705,184200,260400,16747
1946,PP,Sugar beets,1.32,26300,440100,16700,5793
1946,PP,Tame hay,1.26,3420,2293000,670000,28828
1946,PP,"Wheat, all",59,1115,10695000,9603000,635750
1946,PEI,Barley,42,1525,3200,2100,133
1946,PEI,Corn for silage,0,0,0,0,0
1946,PEI,Mixed grains,34,1870,30500,16300,1046
1946,PEI,Oats,43,1375,61650,44900,2677
1946,PEI,Tame hay,1.92,1810,161000,89000,3098
1946,PEI,"Wheat, all",44,1375,1100,800,48
1946,QU,Barley,41,1185,42400,35800,1752
1946,QU,"Beans, all dry (white and coloured)",142,1055,950,900,135
1946,QU,Buckwheat,46,1120,24650,22000,1143
1946,QU,Corn for grain,0,0,0,0,0
1946,QU,Corn for silage,0.67,19220,519000,27000,3489
1946,QU,Flaxseed,0,0,0,0,0
1946,QU,Mixed grains,41,1340,96600,72000,3930
1946,QU,Oats,45,905,498600,552000,22306
1946,QU,"Peas, dry",134,885,2750,3100,368
1946,QU,"Rye, all",41,1090,1200,1100,49
1946,QU,Sugar beets,1.33,18300,16500,900,219
1946,QU,Tame hay,1.43,2910,4784000,1642000,68444
1946,QU,"Wheat, all",46,1170,5500,4700,251
1946,SK,Barley,35,1000,936000,938000,33110
1946,SK,Canola (rapeseed),0,635,5400,8500,0
1946,SK,Corn for silage,0.86,619,13000,2100,112
1946,SK,Flaxseed,118,380,73700,194000,8671
1946,SK,Mixed grains,32,1000,3300,3300,105
1946,SK,Oats,36,880,1542000,1753000,55000
1946,SK,"Peas, dry",105,1020,4800,4700,502
1946,SK,"Rye, all",89,615,101700,165000,9092
1946,SK,"Rye, fall remaining",89,570,58000,NA,5185
1946,SK,"Rye, spring",89,695,43700,63000,3907
1946,SK,Sunflower seed,0,0,0,0,0
1946,SK,Tame hay,1.26,3210,609000,190000,7672
1946,SK,"Wheat, all",60,985,5660000,5757000,336960
1947,AB,Barley,50,1190,1132000,953000,56160
1947,AB,Corn for silage,0.6,10000,4000,400,24
1947,AB,Flaxseed,205,525,58400,111000,11960
1947,AB,Mixed grains,36,1105,7300,6600,266
1947,AB,Oats,49,1130,1157000,1025000,57000
1947,AB,"Peas, dry",98,805,6050,7500,591
1947,AB,"Rye, all",138,815,108300,133000,14960
1947,AB,"Rye, fall remaining",138,925,74000,NA,10208
1947,AB,"Rye, spring",139,645,34300,53000,4752
1947,AB,Sugar beets,1.65,28100,332200,11800,5485
1947,AB,Sunflower seed,0,0,0,0,0
1947,AB,Tame hay,1.56,3480,1357000,390000,21139
1947,AB,"Wheat, all",59,1065,2857000,2684000,169050
1947,BC,Barley,51,1830,16300,8900,830
1947,BC,Corn for silage,0.82,22670,34000,1500,278
1947,BC,Flaxseed,209,490,1100,2250,230
1947,BC,Mixed grains,39,2110,1900,900,74
1947,BC,Oats,53,1770,70000,39500,3676
1947,BC,"Peas, dry",101,1515,4700,3100,475
1947,BC,"Rye, all",130,1200,600,500,78
1947,BC,Tame hay,2.36,5130,621000,121000,14625
1947,BC,"Wheat, all",63,1530,63900,41700,4015
1947,CA,Barley,51,1020,3045500,2991300,154010
1947,CA,"Beans, all dry (white and coloured)",200,1005,35000,34750,7017
1947,CA,Buckwheat,53,965,91000,94100,4857
1947,CA,Canola (rapeseed),0,420,9900,23600,0
1947,CA,Corn for grain,74,2395,175400,73200,12893
1947,CA,Corn for silage,0.55,18330,2808000,153200,15379
1947,CA,Flaxseed,206,485,351050,725150,72417
1947,CA,Mixed grains,46,1555,616900,397250,28225
1947,CA,Oats,53,960,4167450,4342800,219500
1947,CA,"Peas, dry",102,955,42450,44550,4319
1947,CA,"Rye, all",130,710,346300,486500,45072
1947,CA,"Rye, fall remaining",129,760,268600,NA,34619
1947,CA,"Rye, spring",135,580,77700,134200,10453
1947,CA,Soybeans,112,1225,30200,24700,3397
1947,CA,Sugar beets,1.58,23300,549500,23600,8685
1947,CA,Sunflower seed,0,785,7300,9300,0
1947,CA,Tame hay,1.7,3660,15790000,4310000,268898
1947,CA,"Wheat, all",59,945,9211550,9761950,547751
1947,MA,Barley,51,960,740000,769000,37740
1947,MA,Buckwheat,76,835,750,900,57
1947,MA,Canola (rapeseed),0,0,0,0,0
1947,MA,Corn for grain,55,1525,6400,4200,353
1947,MA,Corn for silage,0.77,11400,57000,5000,441
1947,MA,Flaxseed,206,590,143300,243000,29554
1947,MA,Mixed grains,39,1165,6300,5400,246
1947,MA,Oats,51,1075,566000,526000,28626
1947,MA,"Peas, dry",88,945,11900,12600,1049
1947,MA,"Rye, all",144,915,14800,16200,2124
1947,MA,"Rye, fall remaining",145,925,12000,NA,1735
1947,MA,"Rye, spring",139,875,2800,3200,389
1947,MA,Sugar beets,1.38,16300,58800,3600,813
1947,MA,Sunflower seed,0,785,7300,9300,0
1947,MA,Tame hay,1.26,4520,587000,130000,7401
1947,MA,"Wheat, all",61,1130,1143000,1011000,69720
1947,MP,Barley,51,1485,12900,8700,654
1947,MP,Mixed grains,42,1870,43500,23250,1836
1947,MP,Oats,58,1255,180250,143600,10463
1947,MP,Tame hay,2.09,3120,1470000,471000,30782
1947,MP,"Wheat, all",55,1370,2950,2150,162
1947,NB,Barley,52,1500,6450,4300,333
1947,NB,Buckwheat,59,1340,5900,4400,348
1947,NB,Corn for silage,0,0,0,0,0
1947,NB,Mixed grains,41,1715,1800,1050,74
1947,NB,Oats,57,1220,87850,72050,5012
1947,NB,Tame hay,2.04,3140,679000,216000,13875
1947,NB,"Wheat, all",57,1400,1050,750,60
1947,NS,Barley,52,1340,2950,2200,153
1947,NS,Corn for silage,0,0,0,0,0
1947,NS,Mixed grains,54,1375,2200,1600,118
1947,NS,Oats,59,1220,32500,26650,1916
1947,NS,"Rye, all",0,0,0,0,0
1947,NS,Tame hay,2.09,3800,630000,166000,13156
1947,NS,"Wheat, all",50,1200,600,500,30
1947,ON,Barley,52,1445,123000,85000,6383
1947,ON,"Beans, all dry (white and coloured)",201,1010,34300,34000,6903
1947,ON,Buckwheat,51,990,62100,62700,3166
1947,ON,Corn for grain,74,2450,169000,69000,12540
1947,ON,Corn for silage,0.48,19180,2263000,118000,10924
1947,ON,Flaxseed,213,755,18750,24900,4000
1947,ON,Mixed grains,46,1700,477400,280900,21985
1947,ON,Oats,58,1225,577000,470200,33674
1947,ON,"Peas, dry",110,995,14900,14950,1644
1947,ON,"Rye, all",101,1215,35900,29600,3617
1947,ON,Soybeans,112,1225,30200,24700,3397
1947,ON,Sugar beets,1.51,19900,149000,7500,2251
1947,ON,Tame hay,1.57,4230,5974000,1412000,94068
1947,ON,"Wheat, all",52,1650,432300,261700,22561
1947,ON,"Wheat, spring",52,1220,14300,11700,746
1947,ON,"Wheat, winter remaining",52,1670,418000,NA,21815
1947,PP,Barley,50,1000,2852000,2847000,143850
1947,PP,Canola (rapeseed),0,420,9900,23600,0
1947,PP,Corn for silage,0.82,9870,76000,7700,625
1947,PP,Flaxseed,206,475,331200,698000,68187
1947,PP,Mixed grains,37,1030,17400,16900,648
1947,PP,Oats,50,935,2957000,3163000,148826
1947,PP,"Peas, dry",91,870,20750,23900,1895
1947,PP,"Rye, all",134,680,308700,455200,41320
1947,PP,Sugar beets,1.61,25400,391000,15400,6298
1947,PP,Tame hay,1.51,3520,2501000,710000,37698
1947,PP,"Wheat, all",60,920,8708000,9452000,520760
1947,PEI,Barley,48,1590,3500,2200,168
1947,PEI,Corn for silage,0,0,0,0,0
1947,PEI,Mixed grains,42,1915,39500,20600,1644
1947,PEI,Oats,59,1335,59900,44900,3535
1947,PEI,Tame hay,2.33,1810,161000,89000,3751
1947,PEI,"Wheat, all",55,1445,1300,900,72
1947,QU,Barley,56,990,41300,41700,2293
1947,QU,"Beans, all dry (white and coloured)",163,935,700,750,114
1947,QU,Buckwheat,58,850,22250,26100,1286
1947,QU,Corn for grain,0,0,0,0,0
1947,QU,Corn for silage,0.82,16730,435000,26000,3552
1947,QU,Flaxseed,0,0,0,0,0
1947,QU,Mixed grains,48,1020,76700,75300,3682
1947,QU,Oats,60,730,383200,526500,22861
1947,QU,"Peas, dry",145,810,2100,2600,305
1947,QU,"Rye, all",52,915,1100,1200,57
1947,QU,Sugar beets,1.43,13600,9500,700,136
1947,QU,Tame hay,1.76,3270,5224000,1596000,91725
1947,QU,"Wheat, all",58,1000,4400,4400,253
1947,SK,Barley,51,870,980000,1125000,49950
1947,SK,Canola (rapeseed),0,420,9900,23600,0
1947,SK,Corn for silage,1.07,652,15000,2300,160
1947,SK,Flaxseed,206,375,129500,344000,26673
1947,SK,Mixed grains,36,775,3800,4900,136
1947,SK,Oats,51,765,1234000,1612000,63200
1947,SK,"Peas, dry",91,735,2800,3800,255
1947,SK,"Rye, all",131,605,185600,306000,24236
1947,SK,"Rye, fall remaining",131,635,145000,NA,18924
1947,SK,"Rye, spring",131,520,40600,78000,5312
1947,SK,Sunflower seed,0,0,0,0,0
1947,SK,Tame hay,1.64,2930,557000,190000,9158
1947,SK,"Wheat, all",60,820,4708000,5757000,281990
1948,AB,Barley,43,1330,1197000,901000,51150
1948,AB,Corn for silage,0.67,15000,3000,200,20
1948,AB,Flaxseed,149,765,77500,101000,11529
1948,AB,Mixed grains,37,1290,21700,16800,796
1948,AB,Oats,40,1200,1188000,992000,46970
1948,AB,"Peas, dry",93,960,5650,5900,528
1948,AB,"Rye, all",50,1005,259100,258000,12954
1948,AB,"Rye, fall remaining",50,1160,188000,NA,9398
1948,AB,"Rye, spring",50,740,71100,96000,3556
1948,AB,Sugar beets,1.65,24900,293900,11800,4854
1948,AB,Sunflower seed,0,0,0,0,0
1948,AB,Tame hay,1.65,3600,1403000,390000,23138
1948,AB,"Wheat, all",59,1235,3130000,2533000,185150
1948,BC,Barley,47,1675,15600,9300,729
1948,BC,Corn for silage,0.99,23080,30000,1300,297
1948,BC,Flaxseed,147,700,1650,2350,243
1948,BC,Mixed grains,47,2000,1800,900,84
1948,BC,Oats,45,1735,62000,35700,2815
1948,BC,"Peas, dry",135,1100,1100,1000,148
1948,BC,"Rye, all",53,1125,900,800,48
1948,BC,Tame hay,2.72,5090,616000,121000,16734
1948,BC,"Wheat, all",62,1425,53700,37700,3336
1948,CA,Barley,44,1280,3314850,2589900,146735
1948,CA,"Beans, all dry (white and coloured)",151,1205,39050,32450,5906
1948,CA,Buckwheat,56,1155,67950,58900,3823
1948,CA,Canola (rapeseed),0,895,29000,32400,0
1948,CA,Corn for grain,52,3100,322500,104000,16739
1948,CA,Corn for silage,0.62,21080,3569000,169300,22147
1948,CA,Flaxseed,150,590,468700,792700,70233
1948,CA,Mixed grains,47,2040,1095750,536950,51825
1948,CA,Oats,46,1215,5326350,4392000,243256
1948,CA,"Peas, dry",102,1200,31800,26550,3235
1948,CA,"Rye, all",52,735,698600,952400,36052
1948,CA,"Rye, fall remaining",52,755,537100,NA,27872
1948,CA,"Rye, spring",51,670,161500,240700,8180
1948,CA,Soybeans,85,1305,49600,38000,4195
1948,CA,Sugar beets,1.61,23400,570800,24400,9202
1948,CA,Sunflower seed,0,895,10500,11700,0
1948,CA,Tame hay,1.76,3790,15965000,4212000,280784
1948,CA,"Wheat, all",61,1080,10380750,9592900,630774
1948,MA,Barley,45,1575,980000,623000,44100
1948,MA,Buckwheat,64,835,750,900,48
1948,MA,Canola (rapeseed),0,0,0,0,0
1948,MA,Corn for grain,49,1875,7500,4000,371
1948,MA,Corn for silage,0.76,10000,54000,5400,413
1948,MA,Flaxseed,150,590,238800,405000,35908
1948,MA,Mixed grains,41,1475,12400,8400,512
1948,MA,Oats,42,1535,876000,571000,36920
1948,MA,"Peas, dry",85,1070,7400,6900,626
1948,MA,"Rye, all",51,1060,50500,47700,2575
1948,MA,"Rye, fall remaining",51,1075,42000,NA,2143
1948,MA,"Rye, spring",51,975,8500,8700,432
1948,MA,Sugar beets,1.58,18700,73000,3900,1153
1948,MA,Sunflower seed,0,895,10500,11700,0
1948,MA,Tame hay,1.25,4290,558000,130000,6958
1948,MA,"Wheat, all",61,1550,1361000,879000,83000
1948,MP,Barley,55,1700,13250,7800,734
1948,MP,Mixed grains,48,2070,47950,23150,2300
1948,MP,Oats,55,1445,200350,138500,10965
1948,MP,Tame hay,1.73,4160,1885000,453000,32534
1948,MP,"Wheat, all",67,1535,4150,2700,278
1948,NB,Barley,55,1720,6700,3900,368
1948,NB,Buckwheat,61,1345,5650,4200,346
1948,NB,Corn for silage,0,0,0,0,0
1948,NB,Mixed grains,45,1900,1900,1000,85
1948,NB,Oats,54,1450,100800,69600,5425
1948,NB,Tame hay,1.72,3580,742000,207000,12761
1948,NB,"Wheat, all",69,1700,1700,1000,118
1948,NS,Barley,58,1625,3250,2000,189
1948,NS,Corn for silage,0,0,0,0,0
1948,NS,Mixed grains,50,1665,3250,1950,161
1948,NS,Oats,60,1375,34600,25200,2086
1948,NS,"Rye, all",0,0,0,0,0
1948,NS,Tame hay,1.91,4500,706000,157000,13459
1948,NS,"Wheat, all",64,1275,700,550,45
1948,ON,Barley,51,1850,152000,82200,7751
1948,ON,"Beans, all dry (white and coloured)",151,1205,38200,31700,5762
1948,ON,Buckwheat,53,1080,35550,32900,1877
1948,ON,Corn for grain,52,3150,315000,100000,16368
1948,ON,Corn for silage,0.58,22330,2925000,131000,17023
1948,ON,Flaxseed,150,810,23750,29350,3553
1948,ON,Mixed grains,47,2195,882600,402300,41077
1948,ON,Oats,53,1595,1046300,656800,55630
1948,ON,"Peas, dry",105,1470,14200,9650,1490
1948,ON,"Rye, all",60,1390,68200,49000,4083
1948,ON,Soybeans,85,1305,49600,38000,4195
1948,ON,Sugar beets,1.59,23800,178900,7500,2837
1948,ON,Tame hay,1.61,4370,5844000,1337000,93861
1948,ON,"Wheat, all",75,2005,627600,312800,47264
1948,ON,"Wheat, spring",75,1495,29600,19800,2230
1948,ON,"Wheat, winter remaining",75,2040,598000,NA,45034
1948,PP,Barley,44,1255,3091000,2461000,135150
1948,PP,Canola (rapeseed),0,895,29000,32400,0
1948,PP,Corn for silage,0.9,8640,70000,8100,627
1948,PP,Flaxseed,150,585,443300,761000,66437
1948,PP,Mixed grains,39,1285,40800,31700,1577
1948,PP,Oats,41,1130,3437000,3041000,139960
1948,PP,"Peas, dry",88,1020,14000,13700,1233
1948,PP,"Rye, all",51,695,627500,900700,31811
1948,PP,Sugar beets,1.64,23400,366900,15700,6007
1948,PP,Tame hay,1.56,3690,2659000,720000,41401
1948,PP,"Wheat, all",60,1050,9689000,9235000,579480
1948,PEI,Barley,54,1735,3300,1900,177
1948,PEI,Corn for silage,0,0,0,0,0
1948,PEI,Mixed grains,48,2120,42800,20200,2054
1948,PEI,Oats,53,1485,64950,43700,3454
1948,PEI,Tame hay,1.44,4910,437000,89000,6314
1948,PEI,"Wheat, all",66,1520,1750,1150,115
1948,QU,Barley,55,1455,43000,29600,2371
1948,QU,"Beans, all dry (white and coloured)",169,1135,850,750,144
1948,QU,Buckwheat,60,1245,26000,20900,1552
1948,QU,Corn for grain,0,0,0,0,0
1948,QU,Corn for silage,0.77,18820,544000,28900,4200
1948,QU,Flaxseed,0,0,0,0,0
1948,QU,Mixed grains,55,1555,122600,78900,6787
1948,QU,Oats,58,1115,580700,520000,33886
1948,QU,"Peas, dry",146,1135,2500,2200,364
1948,QU,"Rye, all",55,1055,2000,1900,110
1948,QU,Sugar beets,1.43,20800,25000,1200,358
1948,QU,Tame hay,1.94,3140,4961000,1581000,96254
1948,QU,"Wheat, all",66,1340,6300,4700,416
1948,SK,Barley,44,975,914000,937000,39900
1948,SK,Canola (rapeseed),0,895,29000,32400,0
1948,SK,Corn for silage,1.49,520,13000,2500,194
1948,SK,Flaxseed,150,500,127000,255000,19000
1948,SK,Mixed grains,40,1030,6700,6500,269
1948,SK,Oats,41,930,1373000,1478000,56070
1948,SK,"Peas, dry",83,1055,950,900,79
1948,SK,"Rye, all",51,535,317900,595000,16282
1948,SK,"Rye, fall remaining",51,515,236000,NA,12090
1948,SK,"Rye, spring",51,600,81900,136000,4192
1948,SK,Sunflower seed,0,0,0,0,0
1948,SK,Tame hay,1.62,3490,698000,200000,11305
1948,SK,"Wheat, all",60,895,5198000,5823000,311330
1949,AB,Barley,57,915,784000,857000,44640
1949,AB,Corn for silage,0.7,10000,4000,400,28
1949,AB,Flaxseed,130,520,5700,11000,742
1949,AB,Mixed grains,36,795,14100,17700,511
1949,AB,Oats,47,885,848000,959000,39600
1949,AB,"Peas, dry",130,1045,2300,2200,298
1949,AB,"Rye, all",46,460,60900,132000,2808
1949,AB,"Rye, fall remaining",46,480,33000,NA,1521
1949,AB,"Rye, spring",46,445,27900,63000,1287
1949,AB,Sugar beets,1.5,22700,297500,13100,4476
1949,AB,Sunflower seed,0,0,0,0,0
1949,AB,Tame hay,1.87,2400,1009000,420000,18857
1949,AB,"Wheat, all",58,875,2803000,3197000,161710
1949,BC,Barley,58,1945,20400,10500,1174
1949,BC,Corn for silage,0.88,24710,42000,1700,368
1949,BC,Flaxseed,136,945,900,950,122
1949,BC,Mixed grains,48,2175,1850,850,88
1949,BC,Oats,53,1915,74900,39100,3984
1949,BC,"Peas, dry",83,1430,2000,1400,166
1949,BC,"Rye, all",48,1335,800,600,38
1949,BC,Tame hay,2.34,4850,602000,124000,14116
1949,BC,"Wheat, all",62,1755,85200,48600,5293
1949,CA,Barley,60,1070,2569900,2396850,154181
1949,CA,"Beans, all dry (white and coloured)",123,1305,43450,33250,5329
1949,CA,Buckwheat,57,1130,57600,51050,3265
1949,CA,Canola (rapeseed),110,950,7700,8100,850
1949,CA,Corn for grain,51,3145,355000,112900,17960
1949,CA,Corn for silage,0.69,21610,3763000,174100,26046
1949,CA,Flaxseed,131,450,56900,125900,7430
1949,CA,Mixed grains,48,1680,986050,586400,47524
1949,CA,Oats,51,1055,4697800,4447200,239499
1949,CA,"Peas, dry",94,1155,21000,18200,1967
1949,CA,"Rye, all",48,530,258900,488100,12460
1949,CA,"Rye, fall remaining",49,520,184300,NA,8972
1949,CA,"Rye, spring",47,560,74600,133500,3488
1949,CA,Soybeans,83,1685,71000,42100,5899
1949,CA,Sugar beets,1.51,22800,779000,34100,11749
1949,CA,Sunflower seed,84,475,11600,24300,969
1949,CA,Tame hay,2.16,2920,12229000,4189000,264705
1949,CA,"Wheat, all",59,900,9962000,11082950,590003
1949,MA,Barley,64,1265,871000,688000,56000
1949,MA,Buckwheat,61,875,700,800,43
1949,MA,Canola (rapeseed),0,0,0,0,0
1949,MA,Corn for grain,37,1575,14000,8900,522
1949,MA,Corn for silage,0.89,10740,73000,6800,648
1949,MA,Flaxseed,131,510,29200,57000,3811
1949,MA,Mixed grains,38,1365,15000,11000,573
1949,MA,Oats,50,1185,770000,650000,38423
1949,MA,"Peas, dry",72,1365,5450,4000,390
1949,MA,"Rye, all",47,1040,19200,18500,892
1949,MA,"Rye, fall remaining",47,1065,17000,NA,791
1949,MA,"Rye, spring",46,880,2200,2500,101
1949,MA,Sugar beets,1.58,18200,115000,6300,1817
1949,MA,Sunflower seed,84,475,11600,24300,969
1949,MA,Tame hay,1.46,3700,481000,130000,7042
1949,MA,"Wheat, all",60,1210,1416000,1168000,84760
1949,MP,Barley,57,1620,13700,8450,783
1949,MP,Mixed grains,48,2045,52300,25550,2517
1949,MP,Oats,56,1455,198000,136100,11028
1949,MP,Tame hay,1.64,3610,1561000,433000,25626
1949,MP,"Wheat, all",68,1510,4600,3050,311
1949,NB,Barley,58,1560,7100,4550,413
1949,NB,Buckwheat,59,1395,5650,4050,333
1949,NB,Corn for silage,0,0,0,0,0
1949,NB,Mixed grains,45,1880,2350,1250,105
1949,NB,Oats,56,1410,97000,68800,5409
1949,NB,Tame hay,1.6,2910,577000,198000,9222
1949,NB,"Wheat, all",69,1520,1750,1150,120
1949,NS,Barley,58,1600,3200,2000,185
1949,NS,Corn for silage,0,0,0,0,0
1949,NS,Mixed grains,51,1930,4050,2100,206
1949,NS,Oats,60,1525,38450,25200,2293
1949,NS,"Rye, all",0,0,0,0,0
1949,NS,Tame hay,1.82,4030,596000,148000,10840
1949,NS,"Wheat, all",63,1455,800,550,50
1949,ON,Barley,57,1630,131300,80500,7538
1949,ON,"Beans, all dry (white and coloured)",122,1310,42900,32700,5239
1949,ON,Buckwheat,56,1125,29000,25800,1613
1949,ON,Corn for grain,51,3280,341000,104000,17438
1949,ON,Corn for silage,0.64,22470,2966000,132000,18966
1949,ON,Flaxseed,130,740,5900,7950,769
1949,ON,Mixed grains,48,1780,791100,444300,37596
1949,ON,Oats,54,1315,959800,730100,52280
1949,ON,"Peas, dry",91,1040,8250,7950,748
1949,ON,"Rye, all",52,1320,55500,42100,2905
1949,ON,Soybeans,83,1685,71000,42100,5899
1949,ON,Sugar beets,1.5,24900,304300,12200,4565
1949,ON,Tame hay,2.34,2890,3817000,1322000,89493
1949,ON,"Wheat, all",65,2000,585300,292500,38074
1949,ON,"Wheat, spring",65,1215,27300,22500,1775
1949,ON,"Wheat, winter remaining",65,2065,558000,NA,36299
1949,PP,Barley,60,1045,2373000,2273000,142880
1949,PP,Canola (rapeseed),110,950,7700,8100,850
1949,PP,Corn for silage,0.94,9660,85000,8800,800
1949,PP,Flaxseed,131,430,50100,117000,6539
1949,PP,Mixed grains,37,1015,37300,36800,1391
1949,PP,Oats,48,985,2929000,2977000,140923
1949,PP,"Peas, dry",88,1280,8950,7000,789
1949,PP,"Rye, all",47,450,200600,443500,9400
1949,PP,Sugar beets,1.53,21300,412500,19400,6293
1949,PP,Tame hay,1.72,2740,2079000,760000,35715
1949,PP,"Wheat, all",59,865,9281000,10734000,545930
1949,PEI,Barley,54,1790,3400,1900,185
1949,PEI,Corn for silage,0,0,0,0,0
1949,PEI,Mixed grains,48,2070,45900,22200,2206
1949,PEI,Oats,53,1485,62550,42100,3326
1949,PEI,Tame hay,1.43,4460,388000,87000,5564
